sctg,hs,hs_description
1,1,Live Animals
2,10,Cereals
3,12,"Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc"
3,24,Tobacco And Manufactured Tobacco Substitutes
3,52,"Cotton, Including Yarn And Woven Fabric Thereof"
3,5201,"Cotton, Not Carded Or Combed"
3,5203,"Cotton, Carded Or Combed"
3,6,"Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc."
3,7,Edible Vegetables & Certain Roots & Tubers
3,8,Edible Fruit & Nuts; Citrus Fruit Or Melon Peel
3,9,"Coffee, Tea, Mate & Spices"
4,23,Food Industry Residues & Waste; Prep Animal Feed
4,51,"Wool & Animal Hair, Including Yarn & Woven Fabric"
4,5101,"Wool, Not Carded Or Combed"
4,5103,Waste Of Wool Or Of Fine Or Coarse Animal Hair
4,5104,Garnetted Stock Of Wool/fine Or Coarse Animal Hair
4,5,"Products Of Animal Origin, Nesoi"
4,41,Raw Hides and Skins (Other than furskins) and Leather
4,53,VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN
5,16,"Edible Preparations Of Meat, Fish, Crustaceans Etc"
5,2,Meat And Edible Meat Offal
5,3,"Fish, Crustaceans & Aquatic Invertebrates"
6,11,Milling Products; Malt; Starch; Inulin; Wht Gluten
6,19,"Prep Cereal, Flour, Starch Or Milk; Bakers Wares"
7,13,"Lac; Gums, Resins & Other Vegetable Sap & Extract"
7,14,Vegetable Plaiting Materials & Products Nesoi
7,17,Sugars And Sugar Confectionary
7,18,Cocoa And Cocoa Preparations
7,20,"Prep Vegetables, Fruit, Nuts Or Other Plant Parts"
7,21,Miscellaneous Edible Preparations
7,4,Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi
7,15,"Animal Or Vegetable Fats, Oils Etc. & Waxes"
8,22,"BEVERAGES, SPIRITS AND VINEGAR"
